STATEFP,COUNTYFP,TRACTCE,BLKGRPCE,POPULATION,LATITUDE,LONGITUDE
01,001,020100,1,698,+32.464812,-086.486527
01,001,020100,2,1214,+32.482391,-086.486912
01,001,020200,1,1003,+32.478035,-086.474786
01,001,020200,2,1167,+32.466372,-086.471060
01,001,020300,1,2549,+32.476828,-086.460326
01,001,020300,2,824,+32.465297,-086.457514
01,001,020400,1,944,+32.478063,-086.447461
01,001,020400,2,1937,+32.470177,-086.440365
01,001,020400,3,935,+32.463380,-086.444121
01,001,020400,4,570,+32.456784,-086.442892
01,001,020500,1,1737,+32.451871,-086.421211
01,001,020500,2,7023,+32.472481,-086.422320
01,001,020500,3,2006,+32.451946,-086.430664
01,001,020600,1,2423,+32.446380,-086.474035
01,001,020600,2,1245,+32.435125,-086.484565
01,001,020700,1,1784,+32.441378,-086.447168
01,001,020700,2,1107,+32.449472,-086.448555
01,001,020801,1,875,+32.412788,-086.517274
01,001,020801,2,2206,+32.455663,-086.524615
01,001,020802,1,2845,+32.529334,-086.554445
01,001,020802,2,3271,+32.500634,-086.451137
